"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADPRHL2",1.42619159940333e-09,0.32167458557257,0.984,0.719,4.6098791067514e-05,"5","ADPRHL2"
"GNL3",1.48901765603158e-09,0.286399175818984,1,0.819,4.81295176959088e-05,"5","GNL3"
"NDUFA6",1.50360063526467e-09,0.270347889354517,1,0.907,4.860088333366e-05,"5","NDUFA6"
"CMTM71",1.50991300853805e-09,0.257131826603362,0.919,0.611,4.88049181749754e-05,"5","CMTM7"
"ATIC",1.5300810086179e-09,0.436033960732771,1,0.846,4.94568084415565e-05,"5","ATIC"
"MRPL14",1.58523513109636e-09,0.258984171093434,0.984,0.852,5.12395551424275e-05,"5","MRPL14"
"EIPR1",1.60243420887042e-09,0.276804730473617,0.952,0.665,5.17954809333185e-05,"5","EIPR1"
"SPC24",1.62869113143474e-09,0.272078183906561,0.984,0.677,5.26441834413651e-05,"5","SPC24"
"DCTD",1.64919110492351e-09,0.313153547758243,1,0.712,5.33068040844425e-05,"5","DCTD"
"PSMA1",1.70056495210727e-09,0.34465926081722,1,0.915,5.49673609469632e-05,"5","PSMA1"
"RNF4",1.713833559269e-09,0.253527929591587,1,0.839,5.5396242136252e-05,"5","RNF4"
"JUP1",1.85127602579553e-09,0.312964004992095,1,0.959,5.98387949817891e-05,"5","JUP"
"CHEK21",1.89912694785751e-09,0.265910405563747,0.984,0.732,6.13854803355984e-05,"5","CHEK2"
"EXOSC8",1.96194565333985e-09,0.255051433904084,1,0.691,6.34159693529039e-05,"5","EXOSC8"
"SLC25A19",1.98973416533639e-09,0.280865992392178,0.855,0.51,6.4314177426168e-05,"5","SLC25A19"
"PRMT7",2.00359015000102e-09,0.285726213569224,0.887,0.554,6.47620444184829e-05,"5","PRMT7"
"GDF31",2.01408806692191e-09,0.268793687068063,1,0.673,6.51013685871169e-05,"5","GDF3"
"C1orf174",2.01706225774737e-09,0.270882684869089,0.968,0.772,6.51975033571684e-05,"5","C1orf174"
"POFUT1",2.04591341122628e-09,0.326759554456189,1,0.777,6.61300591910669e-05,"5","POFUT1"
"MANBAL",2.16882994561084e-09,0.312280128150442,0.984,0.837,7.0103090331979e-05,"5","MANBAL"
"CCT4",2.23479212999353e-09,0.395239738421524,1,0.948,7.2235186017781e-05,"5","CCT4"
"SUPT4H1",2.31476792393988e-09,0.273412864108174,1,0.843,7.48202436055087e-05,"5","SUPT4H1"
"SNUPN",2.40559038710904e-09,0.288368542312163,1,0.804,7.77558980825255e-05,"5","SNUPN"
"CDC42SE1",2.76276533358369e-09,0.329014231579301,1,0.862,8.93008638774255e-05,"5","CDC42SE1"
"ASNS",2.78914617685813e-09,0.606054488406791,1,0.753,9.01535718745855e-05,"5","ASNS"
"RPL26L1",2.82029495617335e-09,0.255985992487661,0.984,0.795,9.11603938683912e-05,"5","RPL26L1"
"COG4",2.89282032314872e-09,0.257773867973026,0.984,0.705,9.3504631305136e-05,"5","COG4"
"ENSCJAG000000036701",2.89931020822247e-09,0.274191801979866,1,0.874,9.3714403860375e-05,"5","ENSCJAG00000003670"
"YWHAZ",2.92627903657414e-09,0.361508854107496,1,0.994,9.45861172991858e-05,"5","YWHAZ"
"ENSCJAG00000011166",2.93667562796197e-09,0.326420385786793,1,0.869,9.49221663226148e-05,"5","ENSCJAG00000011166"
"NDUFB51",3.03951159341144e-09,0.311537153543993,1,0.953,9.82461332338381e-05,"5","NDUFB5"
"VPS25",3.08643894630191e-09,0.297399802506386,1,0.79,9.97629660613167e-05,"5","VPS25"
