,V1,V2,V3,V4
ERR2851752Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C16,Pre,cMor_CS3,1
ERR2851753Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C17,Pre,cMor_CS3,1
ERR2851754Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C18,Pre,cMor_CS3,1
ERR2851755Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C19,Pre,cMor_CS3,1
ERR2851756Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C20,Pre,cMor_CS3,1
ERR2851757Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C22,Pre,cMor_CS3,1
ERR2851758Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C23,Pre,cMor_CS3,1
ERR2851759Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C24,Pre,cMor_CS3,1
ERR2851760Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C1,Pre,cMor_CS3,1
ERR2851761Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C2,Pre,cMor_CS3,1
ERR2851762Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C3,Pre,cMor_CS3,1
ERR2851763Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C4,Pre,cMor_CS3,1
ERR2851764Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C5,Pre,cMor_CS3,1
ERR2851765Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C6,Pre,cMor_CS3,1
ERR2851766Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C7,Pre,cMor_CS3,1
ERR2851767Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C8,Pre,cMor_CS3,1
ERR2851768Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C9,Pre,cMor_CS3,1
ERR2851769Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_2_C10,Pre,cMor_CS3,1
ERR2851770Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C1,Pre,cMor_CS3,1
ERR2851771Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C2,Pre,cMor_CS3,1
ERR2851772Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C3,Pre,cMor_CS3,1
ERR2851773Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C4,Pre,cMor_CS3,1
ERR2851774Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C5,Pre,cMor_CS3,1
ERR2851775Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C6,Pre,cMor_CS3,1
ERR2851776Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C7,Pre,cMor_CS3,1
ERR2851777Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C8,Pre,cMor_CS3,1
ERR2851778Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C9,Pre,cMor_CS3,1
ERR2851779Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C10,Pre,cMor_CS3,1
ERR2851780Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C11,Pre,cMor_CS3,1
ERR2851781Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C12,Pre,cMor_CS3,1
ERR2851782Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C13,Pre,cMor_CS3,1
ERR2851783Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C14,Pre,cMor_CS3,1
ERR2851784Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C15,Pre,cMor_CS3,1
ERR2851785Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C16,Pre,cMor_CS3,1
ERR2851786Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C17,Pre,cMor_CS3,1
ERR2851787Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C18,Pre,cMor_CS3,1
ERR2851788Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C19,Pre,cMor_CS3,1
ERR2851789Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C20,Pre,cMor_CS3,1
ERR2851790Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_3_C21,Pre,cMor_CS3,1
ERR2851791Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C1,Pre,ICM_CS3,1
ERR2851792Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C5,Pre,ICM_CS3,1
ERR2851793Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C6,Pre,ICM_CS3,1
ERR2851794Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C7,Pre,ICM_CS3,1
ERR2851795Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C8,Pre,ICM_CS3,1
ERR2851796Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C9,Pre,ICM_CS3,1
ERR2851797Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C10,Pre,ICM_CS3,1
ERR2851798Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C11,Pre,ICM_CS3,1
ERR2851799Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_1_C12,Pre,ICM_CS3,1
ERR2851800Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C1,Pre,ICM_CS3,1
ERR2851801Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C2,Pre,ICM_CS3,1
ERR2851802Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C3,Pre,ICM_CS3,1
ERR2851803Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C4,Pre,ICM_CS3,1
ERR2851804Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C5,Pre,ICM_CS3,1
ERR2851805Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C6,Pre,ICM_CS3,1
ERR2851806Aligned.sortedByCoord.out.bam,E-MTAB-7078:EarlyICM_2_C7,Pre,ICM_CS3,1
