"","marmoset_dataInVivo$LOC"
"ERR2851823Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C16"
"ERR2851824Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C17"
"ERR2851825Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C18"
"ERR2851826Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C19"
"ERR2851827Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C20"
"ERR2851828Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C21"
"ERR2851829Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C22"
"ERR2851830Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C23"
"ERR2851831Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C24"
"ERR2851832Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C25"
"ERR2851833Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C1"
"ERR2851834Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C2"
"ERR2851836Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C4"
"ERR2851837Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C6"
"ERR2851838Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C7"
"ERR2851839Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C8"
"ERR2851840Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C9"
"ERR2851841Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C10"
"ERR2851842Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C11"
"ERR2851843Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C12"
"ERR2851844Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C13"
"ERR2851845Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C14"
"ERR2851846Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C15"
"ERR2851847Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C16"
"ERR2851848Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C17"
"ERR2851849Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C18"
"ERR2851850Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C19"
"ERR2851851Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C20"
"ERR2851852Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C21"
"ERR2851853Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C22"
"ERR2851854Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_2_C23"
