"","marmoset_dataInVivo$LOC"
"SLX.20307.i710_i503.H3FT3DRXY.s_1.r_SLX.20307.i710_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_T"
"SLX.20307.i710_i505.H3FT3DRXY.s_1.r_SLX.20307.i710_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AF"
"SLX.20307.i710_i507.H3FT3DRXY.s_1.r_SLX.20307.i710_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BD"
"SLX.20307.i710_i508.H3FT3DRXY.s_1.r_SLX.20307.i710_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_N"
"SLX.20307.i710_i510.H3FT3DRXY.s_1.r_SLX.20307.i710_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_Z"
"SLX.20307.i711_i503.H3FT3DRXY.s_1.r_SLX.20307.i711_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_U"
"SLX.20307.i711_i505.H3FT3DRXY.s_1.r_SLX.20307.i711_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AG"
"SLX.20307.i711_i507.H3FT3DRXY.s_1.r_SLX.20307.i711_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BE"
"SLX.20307.i711_i508.H3FT3DRXY.s_1.r_SLX.20307.i711_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_O"
"SLX.20307.i712_i503.H3FT3DRXY.s_1.r_SLX.20307.i712_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_V"
"SLX.20307.i712_i505.H3FT3DRXY.s_1.r_SLX.20307.i712_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AH"
"SLX.20307.i712_i510.H3FT3DRXY.s_1.r_SLX.20307.i712_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_AB"
"SLX.20307.i714_i507.H3FT3DRXY.s_1.r_SLX.20307.i714_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BG"
"SLX.20307.i714_i510.H3FT3DRXY.s_1.r_SLX.20307.i714_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_AC"
"SLX.20307.i715_i503.H3FT3DRXY.s_1.r_SLX.20307.i715_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_X"
"SLX.20307.i715_i505.H3FT3DRXY.s_1.r_SLX.20307.i715_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AJ"
"SLX.20307.i715_i507.H3FT3DRXY.s_1.r_SLX.20307.i715_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BH"
"SLX.20307.i715_i508.H3FT3DRXY.s_1.r_SLX.20307.i715_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_R"
"SLX.20307.i715_i511.H3FT3DRXY.s_1.r_SLX.20307.i715_i511.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_AP"
"SLX.20308.i701_i502.H3FT3DRXY.s_2.r_SLX.20308.i701_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_A"
"SLX.20308.i701_i503.H3FT3DRXY.s_2.r_SLX.20308.i701_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_M"
"SLX.20308.i701_i505.H3FT3DRXY.s_2.r_SLX.20308.i701_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_Y"
"SLX.20308.i701_i506.H3FT3DRXY.s_2.r_SLX.20308.i701_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AK"
"SLX.20308.i701_i507.H3FT3DRXY.s_2.r_SLX.20308.i701_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AW"
"SLX.20308.i701_i508.H3FT3DRXY.s_2.r_SLX.20308.i701_i508.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BI"
"SLX.20308.i701_i511.H3FT3DRXY.s_2.r_SLX.20308.i701_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_G"
"SLX.20308.i702_i502.H3FT3DRXY.s_2.r_SLX.20308.i702_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_B"
"SLX.20308.i702_i503.H3FT3DRXY.s_2.r_SLX.20308.i702_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_N"
"SLX.20308.i702_i505.H3FT3DRXY.s_2.r_SLX.20308.i702_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_Z"
"SLX.20308.i702_i506.H3FT3DRXY.s_2.r_SLX.20308.i702_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AL"
"SLX.20308.i702_i507.H3FT3DRXY.s_2.r_SLX.20308.i702_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AX"
"SLX.20308.i702_i511.H3FT3DRXY.s_2.r_SLX.20308.i702_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_H"
"SLX.20308.i703_i502.H3FT3DRXY.s_2.r_SLX.20308.i703_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_C"
"SLX.20308.i703_i503.H3FT3DRXY.s_2.r_SLX.20308.i703_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_O"
"SLX.20308.i703_i505.H3FT3DRXY.s_2.r_SLX.20308.i703_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AA"
"SLX.20308.i703_i506.H3FT3DRXY.s_2.r_SLX.20308.i703_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AM"
"SLX.20308.i703_i507.H3FT3DRXY.s_2.r_SLX.20308.i703_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AY"
"SLX.20308.i703_i508.H3FT3DRXY.s_2.r_SLX.20308.i703_i508.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BK"
"SLX.20308.i703_i511.H3FT3DRXY.s_2.r_SLX.20308.i703_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_I"
"SLX.20308.i704_i502.H3FT3DRXY.s_2.r_SLX.20308.i704_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_D"
"SLX.20308.i704_i503.H3FT3DRXY.s_2.r_SLX.20308.i704_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_P"
"SLX.20308.i704_i505.H3FT3DRXY.s_2.r_SLX.20308.i704_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AB"
"SLX.20308.i704_i506.H3FT3DRXY.s_2.r_SLX.20308.i704_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AN"
"SLX.20308.i704_i507.H3FT3DRXY.s_2.r_SLX.20308.i704_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AZ"
"SLX.20308.i704_i510.H3FT3DRXY.s_2.r_SLX.20308.i704_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BX"
"SLX.20308.i704_i511.H3FT3DRXY.s_2.r_SLX.20308.i704_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_J"
"SLX.20308.i705_i502.H3FT3DRXY.s_2.r_SLX.20308.i705_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_E"
"SLX.20308.i705_i503.H3FT3DRXY.s_2.r_SLX.20308.i705_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_Q"
"SLX.20308.i705_i506.H3FT3DRXY.s_2.r_SLX.20308.i705_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AO"
"SLX.20308.i705_i507.H3FT3DRXY.s_2.r_SLX.20308.i705_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BA"
"SLX.20308.i705_i511.H3FT3DRXY.s_2.r_SLX.20308.i705_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_K"
"SLX.20308.i706_i502.H3FT3DRXY.s_2.r_SLX.20308.i706_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_F"
"SLX.20308.i706_i506.H3FT3DRXY.s_2.r_SLX.20308.i706_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AP"
"SLX.20308.i706_i507.H3FT3DRXY.s_2.r_SLX.20308.i706_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BB"
"SLX.20308.i706_i510.H3FT3DRXY.s_2.r_SLX.20308.i706_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BZ"
"SLX.20308.i706_i511.H3FT3DRXY.s_2.r_SLX.20308.i706_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_L"
"SLX.20308.i707_i502.H3FT3DRXY.s_2.r_SLX.20308.i707_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_G"
"SLX.20308.i707_i503.H3FT3DRXY.s_2.r_SLX.20308.i707_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_S"
"SLX.20308.i707_i506.H3FT3DRXY.s_2.r_SLX.20308.i707_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AQ"
"SLX.20308.i707_i507.H3FT3DRXY.s_2.r_SLX.20308.i707_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BC"
"SLX.20308.i707_i508.H3FT3DRXY.s_2.r_SLX.20308.i707_i508.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BO"
"SLX.20308.i707_i510.H3FT3DRXY.s_2.r_SLX.20308.i707_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_A"
"SLX.20308.i707_i511.H3FT3DRXY.s_2.r_SLX.20308.i707_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_M"
"SLX.20308.i710_i502.H3FT3DRXY.s_2.r_SLX.20308.i710_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_H"
"SLX.20308.i710_i503.H3FT3DRXY.s_2.r_SLX.20308.i710_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_T"
"SLX.20308.i710_i506.H3FT3DRXY.s_2.r_SLX.20308.i710_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AR"
"SLX.20308.i710_i507.H3FT3DRXY.s_2.r_SLX.20308.i710_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BD"
"SLX.20308.i710_i508.H3FT3DRXY.s_2.r_SLX.20308.i710_i508.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BP"
"SLX.20308.i710_i510.H3FT3DRXY.s_2.r_SLX.20308.i710_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_B"
"SLX.20308.i710_i511.H3FT3DRXY.s_2.r_SLX.20308.i710_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_N"
"SLX.20308.i711_i502.H3FT3DRXY.s_2.r_SLX.20308.i711_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_I"
"SLX.20308.i711_i503.H3FT3DRXY.s_2.r_SLX.20308.i711_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_U"
"SLX.20308.i711_i505.H3FT3DRXY.s_2.r_SLX.20308.i711_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AG"
"SLX.20308.i711_i507.H3FT3DRXY.s_2.r_SLX.20308.i711_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BE"
"SLX.20308.i711_i510.H3FT3DRXY.s_2.r_SLX.20308.i711_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_C"
"SLX.20308.i711_i511.H3FT3DRXY.s_2.r_SLX.20308.i711_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_O"
"SLX.20308.i712_i502.H3FT3DRXY.s_2.r_SLX.20308.i712_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_J"
"SLX.20308.i712_i503.H3FT3DRXY.s_2.r_SLX.20308.i712_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_V"
"SLX.20308.i712_i507.H3FT3DRXY.s_2.r_SLX.20308.i712_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BF"
"SLX.20308.i712_i508.H3FT3DRXY.s_2.r_SLX.20308.i712_i508.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BR"
"SLX.20308.i712_i510.H3FT3DRXY.s_2.r_SLX.20308.i712_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_D"
"SLX.20308.i712_i511.H3FT3DRXY.s_2.r_SLX.20308.i712_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_P"
"SLX.20308.i714_i502.H3FT3DRXY.s_2.r_SLX.20308.i714_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_K"
"SLX.20308.i714_i503.H3FT3DRXY.s_2.r_SLX.20308.i714_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_W"
"SLX.20308.i714_i505.H3FT3DRXY.s_2.r_SLX.20308.i714_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AI"
"SLX.20308.i714_i507.H3FT3DRXY.s_2.r_SLX.20308.i714_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BG"
"SLX.20308.i714_i510.H3FT3DRXY.s_2.r_SLX.20308.i714_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_E"
"SLX.20308.i714_i511.H3FT3DRXY.s_2.r_SLX.20308.i714_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_Q"
"SLX.20308.i715_i502.H3FT3DRXY.s_2.r_SLX.20308.i715_i502.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_L"
"SLX.20308.i715_i503.H3FT3DRXY.s_2.r_SLX.20308.i715_i503.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_X"
"SLX.20308.i715_i505.H3FT3DRXY.s_2.r_SLX.20308.i715_i505.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AJ"
"SLX.20308.i715_i506.H3FT3DRXY.s_2.r_SLX.20308.i715_i506.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_AV"
"SLX.20308.i715_i507.H3FT3DRXY.s_2.r_SLX.20308.i715_i507.H3MLCDRXY.s_2.r.sorted.bam","E25D_219_BH"
"SLX.20308.i715_i510.H3FT3DRXY.s_2.r_SLX.20308.i715_i510.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_F"
"SLX.20308.i715_i511.H3FT3DRXY.s_2.r_SLX.20308.i715_i511.H3MLCDRXY.s_2.r.sorted.bam","E25D_220_R"
