Filename,SRR,ID,Day,Type,Type2,Type3,Type4,Type5,Order
SRR10039940Aligned.sortedByCoord.out.bam,SRR10039940,D14A1B19,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,110
SRR10039939Aligned.sortedByCoord.out.bam,SRR10039939,D14A1B18,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,111
SRR10039930Aligned.sortedByCoord.out.bam,SRR10039930,D14_2B3,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,112
SRR10039938Aligned.sortedByCoord.out.bam,SRR10039938,D14A1B17,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,113
SRR10039941Aligned.sortedByCoord.out.bam,SRR10039941,D14A1B1,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,114
SRR10039937Aligned.sortedByCoord.out.bam,SRR10039937,D14A1B16,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,115
SRR10039923Aligned.sortedByCoord.out.bam,SRR10039923,D14_3B6,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,116
SRR10039935Aligned.sortedByCoord.out.bam,SRR10039935,D14A1B14,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,117
SRR10039929Aligned.sortedByCoord.out.bam,SRR10039929,D14_2B1,D14,EVT,EVT_D14,Tb_CS6,EVTb_CS6,Tb_CS6,118
SRR10039927Aligned.sortedByCoord.out.bam,SRR10039927,D14_3S9,D14,CTB,CTB_D14,Tb_CS6,CTb_CS6,Tb_CS6,119
SRR10039936Aligned.sortedByCoord.out.bam,SRR10039936,D14A1B15,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,120
SRR10039928Aligned.sortedByCoord.out.bam,SRR10039928,D14_2S2,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,121
SRR10039926Aligned.sortedByCoord.out.bam,SRR10039926,D14_3S16,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,122
SRR10039924Aligned.sortedByCoord.out.bam,SRR10039924,D14_3S10,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,123
SRR10039933Aligned.sortedByCoord.out.bam,SRR10039933,D14A1B12,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,124
SRR10039934Aligned.sortedByCoord.out.bam,SRR10039934,D14A1B13,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,125
