File,ID,CompID,CompID,Location,uLoc,EmbryoStage,EmbryoID,Carnegie Stage,Annotation,Annotation2,Annotation3,Order,Unique_Reads,%Mapped,%Mapped_to_annotation_base,%Mapped_to_annotation_5kbextended,%Mapped_to_annotation_1kbextended,QC,NoGenes,FinalAverage,All,vsCyno,Table,PreImp,vsCynoMin,PostImp,AllPImp,ForMapping,MapES,SpatialModelPlus,vsCynoClara,SpatialModelPlus2
CME25A7812681Aligned.sortedByCoord.out.bam,CME25A7812681,CME25A7812681,CME25A7812681,P1_E15B_193_P,Am_CS5_P1_E15B_193_P,E15,E15B,CS5,Am_CS5_,Am_CS5,Am_CS5,82,1481190,0.825,0.193800245,0.262281632,0.220633826,1,5714,1,1,1,1,0,0,1,1,1,1,1,1,1
CME25A7812672Aligned.sortedByCoord.out.bam,CME25A7812672,CME25A7812672,CME25A7812672,P1_E15B_193_G,EmDisc_CS5_P1_E15B_193_G,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,83,6060737,0.8122,0.204605911,0.277683989,0.236622859,1,8669,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812679Aligned.sortedByCoord.out.bam,CME25A7812679,CME25A7812679,CME25A7812679,P1_E15B_193_N,Am_CS5_P1_E15B_193_N,E15,E15B,CS5,Am_CS5_,Am_CS5,Am_CS5,84,2210132,0.7293,0.260174529,0.330248113,0.293232146,1,4759,1,1,1,1,0,0,1,1,1,1,1,1,1
CME25A7812678Aligned.sortedByCoord.out.bam,CME25A7812678,CME25A7812678,CME25A7812678,P1_E15B_193_M,ExMes_CS5_P1_E15B_193_M,E15,E15B,CS5,ExMes_CS5_,ExMes_CS5,ExMes_CS5_nomarkers,86,780737,0.7788,0.185725797,0.247894564,0.208505511,1,12143,1,1,1,1,0,1,1,1,1,0,1,1,1
CME25A7812673Aligned.sortedByCoord.out.bam,CME25A7812673,CME25A7812673,CME25A7812673,P1_E15B_193_H,Tb_CS5_P1_E15B_193_H,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,93,1491044,0.6776,0.405233341,0.500499792,0.457337674,1,7256,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812668Aligned.sortedByCoord.out.bam,CME25A7812668,CME25A7812668,CME25A7812668,P1_E15B_193_C,Tb_CS5_P1_E15B_193_C,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,95,2056592,0.8131,0.112398392,0.16460159,0.134297251,1,6120,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812667Aligned.sortedByCoord.out.bam,CME25A7812667,CME25A7812667,CME25A7812667,P1_E15B_193_B,Tb_CS5_P1_E15B_193_B,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,97,1380405,0.5307,0.291849915,0.375032851,0.332918776,1,4482,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812666Aligned.sortedByCoord.out.bam,CME25A7812666,CME25A7812666,CME25A7812666,P1_E15B_193_A,Tb_CS5_P1_E15B_193_A,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,100,1307505,0.7969,0.264383465,0.322266313,0.288180115,1,6815,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7795993Aligned.sortedByCoord.out.bam,CME25A7795993,CME25A7795993,CME25A7795993,CL,ESC_primed_121,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,290,3387549,0.7673,0.518214729,0.598269281,0.55863851,1,11046,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795992Aligned.sortedByCoord.out.bam,CME25A7795992,CME25A7795992,CME25A7795992,CL,ESC_primed_122,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,291,2250708,0.7886,0.581848648,0.64780193,0.614731743,1,11093,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795985Aligned.sortedByCoord.out.bam,CME25A7795985,CME25A7795985,CME25A7795985,CL,ESC_primed_123,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,301,1981519,0.688,0.301229358,0.394525154,0.340615471,1,11153,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795984Aligned.sortedByCoord.out.bam,CME25A7795984,CME25A7795984,CME25A7795984,CL,ESC_primed_124,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,302,377124,0.4963,0.371892863,0.423129912,0.394580819,1,8801,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795976Aligned.sortedByCoord.out.bam,CME25A7795976,CME25A7795976,CME25A7795976,CL,ESC_primed_125,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,309,2326907,0.7884,0.592392933,0.647767219,0.621690703,1,12063,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795977Aligned.sortedByCoord.out.bam,CME25A7795977,CME25A7795977,CME25A7795977,CL,ESC_primed_126,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,310,1904320,0.7289,0.511000769,0.576611174,0.546007085,1,11785,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795968Aligned.sortedByCoord.out.bam,CME25A7795968,CME25A7795968,CME25A7795968,CL,ESC_primed_127,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,314,3429779,0.804,0.597129741,0.662170003,0.630921979,1,9112,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795969Aligned.sortedByCoord.out.bam,CME25A7795969,CME25A7795969,CME25A7795969,CL,ESC_primed_128,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,316,1482762,0.7414,0.518174621,0.590473389,0.557667408,1,12090,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795960Aligned.sortedByCoord.out.bam,CME25A7795960,CME25A7795960,CME25A7795960,CL,ESC_primed_129,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,324,1692989,0.7349,0.548788664,0.623074409,0.589232445,1,9929,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795961Aligned.sortedByCoord.out.bam,CME25A7795961,CME25A7795961,CME25A7795961,CL,ESC_primed_130,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,328,1994496,0.7503,0.51669859,0.593273404,0.556722161,1,11458,1,0,0,1,0,0,0,0,0,1,1,1,1
CME25A7795953Aligned.sortedByCoord.out.bam,CME25A7795953,CME25A7795953,CME25A7795953,CL,ESC_primed_131,NA,NA,CL,ESC_CMESC,ESC_primed,ESC_primed,331,1964253,0.7589,0.52773619,0.599698384,0.566165974,1,12836,1,0,0,1,0,0,0,0,0,1,1,1,1
