File,ID,Desc,ID2,ID3,Section,Position,Stage,PosID,Embryo,IsEmb,NotRef,Order
SRR7984309Aligned.sortedByCoord.out.bam,SRR7984309,Stage E7.0 embryo 2 section 3 region A (E7.0_2_3A),E7.0_2_3A,3A.E7.0,3,A,E7.0,3A.E7.0,2,1,1,638
SRR7984307Aligned.sortedByCoord.out.bam,SRR7984307,Stage E7.0 embryo 2 section 2 region M (E7.0_2_2M),E7.0_2_2M,2M.E7.0,2,M,E7.0,2M.E7.0,2,1,1,639
SRR7984308Aligned.sortedByCoord.out.bam,SRR7984308,Stage E7.0 embryo 2 section 2 region P (E7.0_2_2P),E7.0_2_2P,2P.E7.0,2,P,E7.0,2P.E7.0,2,1,1,640
SRR7984306Aligned.sortedByCoord.out.bam,SRR7984306,Stage E7.0 embryo 2 section 2 region EP (E7.0_2_2EP),E7.0_2_2EP,2EP.E7.0,2,EP,E7.0,2EP.E7.0,2,1,1,641
SRR7984304Aligned.sortedByCoord.out.bam,SRR7984304,Stage E7.0 embryo 2 section 1 region P (E7.0_2_1P),E7.0_2_1P,1P.E7.0,1,P,E7.0,1P.E7.0,2,1,1,642
SRR7984303Aligned.sortedByCoord.out.bam,SRR7984303,Stage E7.0 embryo 2 section 1 region EAP (E7.0_2_1EAP),E7.0_2_1EAP,1EAP.E7.0,1,EAP,E7.0,1EAP.E7.0,2,1,1,643
SRR7984305Aligned.sortedByCoord.out.bam,SRR7984305,Stage E7.0 embryo 2 section 2 region EA (E7.0_2_2EA),E7.0_2_2EA,2EA.E7.0,2,EA,E7.0,2EA.E7.0,2,1,1,644
SRR7984301Aligned.sortedByCoord.out.bam,SRR7984301,Stage E7.0 embryo 2 section 11 region M (E7.0_2_11M),E7.0_2_11M,11M.E7.0,11,M,E7.0,11M.E7.0,2,1,1,645
SRR7984302Aligned.sortedByCoord.out.bam,SRR7984302,Stage E7.0 embryo 2 section 11 region P (E7.0_2_11P),E7.0_2_11P,11P.E7.0,11,P,E7.0,11P.E7.0,2,1,1,646
SRR7984299Aligned.sortedByCoord.out.bam,SRR7984299,Stage E7.0 embryo 2 section 11 region EA (E7.0_2_11EA),E7.0_2_11EA,11EA.E7.0,11,EA,E7.0,11EA.E7.0,2,1,1,647
SRR7984298Aligned.sortedByCoord.out.bam,SRR7984298,Stage E7.0 embryo 2 section 10 region P (E7.0_2_10P),E7.0_2_10P,10P.E7.0,10,P,E7.0,10P.E7.0,2,1,1,648
SRR7984300Aligned.sortedByCoord.out.bam,SRR7984300,Stage E7.0 embryo 2 section 11 region EP (E7.0_2_11EP),E7.0_2_11EP,11EP.E7.0,11,EP,E7.0,11EP.E7.0,2,1,1,649
SRR7984297Aligned.sortedByCoord.out.bam,SRR7984297,Stage E7.0 embryo 2 section 10 region M (E7.0_2_10M),E7.0_2_10M,10M.E7.0,10,M,E7.0,10M.E7.0,2,1,1,650
SRR7984294Aligned.sortedByCoord.out.bam,SRR7984294,Stage E7.0 embryo 1 section 9 region R (E7.0_1_9R),E7.0_1_9R,9R.E7.0,9,R,E7.0,9R.E7.0,1,1,1,651
SRR7984296Aligned.sortedByCoord.out.bam,SRR7984296,Stage E7.0 embryo 2 section 10 region EP (E7.0_2_10EP),E7.0_2_10EP,10EP.E7.0,10,EP,E7.0,10EP.E7.0,2,1,1,652
SRR7984295Aligned.sortedByCoord.out.bam,SRR7984295,Stage E7.0 embryo 2 section 10 region EA (E7.0_2_10EA),E7.0_2_10EA,10EA.E7.0,10,EA,E7.0,10EA.E7.0,2,1,1,653
SRR7984293Aligned.sortedByCoord.out.bam,SRR7984293,Stage E7.0 embryo 1 section 9 region P (E7.0_1_9P),E7.0_1_9P,9P.E7.0,9,P,E7.0,9P.E7.0,1,1,1,654
SRR7984292Aligned.sortedByCoord.out.bam,SRR7984292,Stage E7.0 embryo 1 section 9 region M (E7.0_1_9M),E7.0_1_9M,9M.E7.0,9,M,E7.0,9M.E7.0,1,1,1,655
SRR7984290Aligned.sortedByCoord.out.bam,SRR7984290,Stage E7.0 embryo 1 section 9 region EP (E7.0_1_9EP),E7.0_1_9EP,9EP.E7.0,9,EP,E7.0,9EP.E7.0,1,1,1,656
SRR7984289Aligned.sortedByCoord.out.bam,SRR7984289,Stage E7.0 embryo 1 section 9 region EA (E7.0_1_9EA),E7.0_1_9EA,9EA.E7.0,9,EA,E7.0,9EA.E7.0,1,1,1,657
SRR7984288Aligned.sortedByCoord.out.bam,SRR7984288,Stage E7.0 embryo 1 section 9 region A (E7.0_1_9A),E7.0_1_9A,9A.E7.0,9,A,E7.0,9A.E7.0,1,1,1,658
SRR7984287Aligned.sortedByCoord.out.bam,SRR7984287,Stage E7.0 embryo 1 section 8 region P (E7.0_1_8P),E7.0_1_8P,8P.E7.0,8,P,E7.0,8P.E7.0,1,1,1,659
SRR7984286Aligned.sortedByCoord.out.bam,SRR7984286,Stage E7.0 embryo 1 section 8 region M (E7.0_1_8M),E7.0_1_8M,8M.E7.0,8,M,E7.0,8M.E7.0,1,1,1,660
SRR7984283Aligned.sortedByCoord.out.bam,SRR7984283,Stage E7.0 embryo 1 section 7 region P (E7.0_1_7P),E7.0_1_7P,7P.E7.0,7,P,E7.0,7P.E7.0,1,1,1,661
SRR7984285Aligned.sortedByCoord.out.bam,SRR7984285,Stage E7.0 embryo 1 section 8 region EP (E7.0_1_8EP),E7.0_1_8EP,8EP.E7.0,8,EP,E7.0,8EP.E7.0,1,1,1,662
SRR7984282Aligned.sortedByCoord.out.bam,SRR7984282,Stage E7.0 embryo 1 section 7 region M (E7.0_1_7M),E7.0_1_7M,7M.E7.0,7,M,E7.0,7M.E7.0,1,1,1,663
SRR7984284Aligned.sortedByCoord.out.bam,SRR7984284,Stage E7.0 embryo 1 section 8 region EA (E7.0_1_8EA),E7.0_1_8EA,8EA.E7.0,8,EA,E7.0,8EA.E7.0,1,1,1,664
SRR7984280Aligned.sortedByCoord.out.bam,SRR7984280,Stage E7.0 embryo 1 section 7 region EA (E7.0_1_7EA),E7.0_1_7EA,7EA.E7.0,7,EA,E7.0,7EA.E7.0,1,1,1,665
SRR7984278Aligned.sortedByCoord.out.bam,SRR7984278,Stage E7.0 embryo 1 section 6 region M (E7.0_1_6M),E7.0_1_6M,6M.E7.0,6,M,E7.0,6M.E7.0,1,1,1,666
SRR7984281Aligned.sortedByCoord.out.bam,SRR7984281,Stage E7.0 embryo 1 section 7 region EP (E7.0_1_7EP),E7.0_1_7EP,7EP.E7.0,7,EP,E7.0,7EP.E7.0,1,1,1,667
SRR7984279Aligned.sortedByCoord.out.bam,SRR7984279,Stage E7.0 embryo 1 section 6 region P (E7.0_1_6P),E7.0_1_6P,6P.E7.0,6,P,E7.0,6P.E7.0,1,1,1,668
SRR7984276Aligned.sortedByCoord.out.bam,SRR7984276,Stage E7.0 embryo 1 section 6 region EP (E7.0_1_6EP),E7.0_1_6EP,6EP.E7.0,6,EP,E7.0,6EP.E7.0,1,1,1,669
SRR7984275Aligned.sortedByCoord.out.bam,SRR7984275,Stage E7.0 embryo 1 section 6 region EA (E7.0_1_6EA),E7.0_1_6EA,6EA.E7.0,6,EA,E7.0,6EA.E7.0,1,1,1,670
SRR7984277Aligned.sortedByCoord.out.bam,SRR7984277,Stage E7.0 embryo 1 section 6 region L (E7.0_1_6L),E7.0_1_6L,6L.E7.0,6,L,E7.0,6L.E7.0,1,1,1,671
SRR7984273Aligned.sortedByCoord.out.bam,SRR7984273,Stage E7.0 embryo 1 section 5 region P (E7.0_1_5P),E7.0_1_5P,5P.E7.0,5,P,E7.0,5P.E7.0,1,1,1,672
SRR7984274Aligned.sortedByCoord.out.bam,SRR7984274,Stage E7.0 embryo 1 section 6 region A (E7.0_1_6A),E7.0_1_6A,6A.E7.0,6,A,E7.0,6A.E7.0,1,1,1,673
